iso_code	continent	location	date	total_cases	total_deaths	total_tests	positive_rate	population	gdp_per_capita	extreme_poverty	diabetes_prevalence	hospital_beds_per_thousand	life_expectancy	human_development_index	casos_por_persona	casos_por_millon
KGZ	Asia	Kyrgyzstan	2020-09-11	44684	1063	NA	NA	6524191	3393.474	1.4	7.11	4.5	71.45	0.672	0.00684897177289874	6848.97177289874
KHM	Asia	Cambodia	2020-09-11	274	0	NA	NA	16718971	3645.07	NA	4	0.8	69.82	0.582	1.63885684112976e-05	16.3885684112976
KNA	North America	Saint Kitts and Nevis	2020-09-11	17	0	NA	NA	53192	24654.385	NA	12.84	2.3	76.23	0.778	0.000319596931869454	319.596931869454
KOR	Asia	South Korea	2020-09-11	21919	350	2089788	0.009	51269183	35938.374	0.2	6.8	12.27	83.03	0.903	0.000427527780187174	427.527780187174
KWT	Asia	Kuwait	2020-09-11	92822	556	NA	NA	4270563	65530.537	NA	15.84	2	75.49	0.803	0.0217353074992688	21735.3074992688
LAO	Asia	Laos	2020-09-11	22	0	NA	NA	7275556	6397.36	22.7	4	1.5	67.92	0.601	3.02382388370043e-06	3.02382388370043
LBN	Asia	Lebanon	2020-09-11	22437	219	NA	NA	6825442	13367.565	NA	12.71	2.9	78.93	0.757	0.00328725963827691	3287.25963827691
LBR	Africa	Liberia	2020-09-11	1315	82	NA	NA	5057677	752.788	38.6	2.42	0.8	64.1	0.435	0.000260000786922534	260.000786922534
LBY	Africa	Libya	2020-09-11	20939	339	NA	NA	6871287	17881.509	NA	10.43	3.7	72.91	0.706	0.00304731850088637	3047.31850088637
LCA	North America	Saint Lucia	2020-09-11	27	0	NA	NA	183629	12951.839	NA	11.62	1.3	76.2	0.747	0.000147035598952235	147.035598952235
LIE	Europe	Liechtenstein	2020-09-11	109	1	NA	NA	38137	NA	NA	7.77	2.397	82.49	0.916	0.00285811678946954	2858.11678946954
LKA	Asia	Sri Lanka	2020-09-11	3155	12	NA	NA	21413250	11669.077	0.7	10.68	3.6	76.98	0.77	0.000147338680489884	147.338680489884
LSO	Africa	Lesotho	2020-09-11	1164	31	NA	NA	2142252	2851.153	59.6	3.94	NA	54.33	0.52	0.000543353443012307	543.353443012307
LTU	Europe	Lithuania	2020-09-11	3199	86	687118	0.008	2722291	29524.265	0.7	3.67	6.56	75.93	0.858	0.00117511316754895	1175.11316754895
LUX	Europe	Luxembourg	2020-09-11	7088	124	NA	NA	625976	94277.965	0.2	4.42	4.51	82.25	0.904	0.0113231178192135	11323.1178192135
LVA	Europe	Latvia	2020-09-11	1448	35	274826	0.003	1886202	25063.846	0.7	4.91	5.57	75.29	0.847	0.000767680237853634	767.680237853634
MAR	Africa	Morocco	2020-09-11	79767	1491	NA	NA	36910558	7485.013	1	7.14	1.1	76.68	0.667	0.00216108897622193	2161.08897622193
MCO	Europe	Monaco	2020-09-11	165	1	NA	NA	39244	NA	NA	5.46	13.8	86.75	NA	0.00420446437672001	4204.46437672001
MDA	Europe	Moldova	2020-09-11	41704	1106	NA	NA	4033963	5189.972	0.2	5.72	5.8	71.9	0.7	0.0103382207521487	10338.2207521487
MDG	Africa	Madagascar	2020-09-11	15624	208	NA	NA	27691019	1416.44	77.6	3.94	0.2	67.04	0.519	0.000564226256895783	564.226256895783
MDV	Asia	Maldives	2020-09-11	8900	31	NA	NA	540542	15183.616	NA	9.19	NA	78.92	0.717	0.01646495554462	16464.95554462
MEX	North America	Mexico	2020-09-11	652364	69649	NA	NA	128932753	17336.469	2.5	13.06	1.38	75.05	0.774	0.00505972287739796	5059.72287739796
MKD	Europe	Macedonia	2020-09-11	15293	634	NA	NA	2083380	13111.214	5	10.08	4.28	75.8	0.757	0.00734047557334716	7340.47557334716
MLI	Africa	Mali	2020-09-11	2909	128	NA	NA	20250834	2014.306	NA	2.42	0.1	59.31	0.427	0.000143648404801501	143.648404801501
MLT	Europe	Malta	2020-09-11	2162	14	NA	NA	441539	36513.323	0.2	8.83	4.485	82.53	0.878	0.00489650970808921	4896.50970808921
MMR	Asia	Myanmar	2020-09-11	2265	14	NA	NA	54409794	5591.597	6.4	4.61	0.9	67.13	0.578	4.16285347450498e-05	41.6285347450498
MNE	Europe	Montenegro	2020-09-11	6222	114	NA	NA	628062	16409.288	1	10.08	3.861	76.88	0.814	0.00990666526553111	9906.66526553111
MNG	Asia	Mongolia	2020-09-11	311	0	NA	NA	3278292	11840.846	0.5	4.82	7	69.87	0.741	9.48664731512629e-05	94.8664731512629
MNP	Oceania	Northern Mariana Islands	2020-09-11	59	2	NA	NA	57557	NA	NA	NA	NA	76.74	NA	0.00102507079938148	1025.07079938148
MOZ	Africa	Mozambique	2020-09-11	4832	31	NA	NA	31255435	1136.103	62.9	3.3	0.7	60.85	0.437	0.000154597112470199	154.597112470199
MRT	Africa	Mauritania	2020-09-11	7202	161	NA	NA	4649660	3597.633	6	2.42	NA	64.92	0.52	0.00154893045943144	1548.93045943144
MSR	North America	Montserrat	2020-09-11	13	1	NA	NA	4999	NA	NA	NA	NA	74.16	NA	0.0026005201040208	2600.5201040208
MUS	Africa	Mauritius	2020-09-11	356	10	NA	NA	1271767	20292.745	0.5	22.02	3.4	74.99	0.79	0.000279925489496111	279.925489496111
MWI	Africa	Malawi	2020-09-11	5655	176	NA	NA	19129955	1095.042	71.4	3.94	1.3	64.26	0.477	0.000295609686483842	295.609686483842
MYS	Asia	Malaysia	2020-09-11	9628	128	NA	NA	32365998	26808.164	0.1	16.74	1.9	76.16	0.802	0.00029747267487318	297.47267487318
NAM	Africa	Namibia	2020-09-11	9256	96	NA	NA	2540916	9541.808	13.4	3.94	NA	63.71	0.647	0.00364278079243863	3642.78079243863
NCL	Oceania	New Caledonia	2020-09-11	26	0	NA	NA	285491	NA	NA	23.36	NA	77.55	NA	9.10711721210126e-05	91.0711721210126
NER	Africa	Niger	2020-09-11	1178	69	NA	NA	24206636	926	44.5	2.42	0.3	62.42	0.354	4.86643414640514e-05	48.6643414640514
NGA	Africa	Nigeria	2020-09-11	55829	1075	436231	0.059	206139587	5338.454	NA	2.42	NA	54.69	0.532	0.000270831046149326	270.831046149326
NIC	North America	Nicaragua	2020-09-11	4818	144	NA	NA	6624554	5321.444	3.2	11.47	0.9	74.48	0.658	0.000727294245016344	727.294245016344
NLD	Europe	Netherlands	2020-09-11	78438	6240	NA	NA	17134873	48472.545	NA	5.29	3.32	82.28	0.931	0.00457768201725219	4577.68201725219
NOR	Europe	Norway	2020-09-11	11746	265	NA	NA	5421242	64800.057	0.2	5.31	3.6	82.4	0.953	0.00216666217815032	2166.66217815032
NPL	Asia	Nepal	2020-09-11	50465	317	NA	NA	29136808	2442.804	15	7.26	0.3	70.78	0.574	0.00173200166607131	1732.00166607131
NZL	Oceania	New Zealand	2020-09-11	1442	24	NA	NA	4822233	36085.843	NA	8.08	2.61	82.29	0.917	0.000299031589722023	299.031589722023
OMN	Asia	Oman	2020-09-11	88337	762	NA	NA	5106622	37960.709	NA	12.61	1.6	77.86	0.821	0.017298519451802	17298.519451802
PAK	Asia	Pakistan	2020-09-11	300371	6370	2879655	0.017	220892331	5034.708	4	8.35	0.6	67.27	0.562	0.00135980728095083	1359.80728095083
PAN	North America	Panama	2020-09-11	99715	2127	NA	NA	4314768	22267.037	2.2	8.33	2.3	78.51	0.789	0.0231101649034201	23110.1649034201
PER	South America	Peru	2020-09-11	710067	30344	NA	NA	32971846	12236.706	3.5	5.95	1.6	76.74	0.75	0.0215355549094825	21535.5549094825
PHL	Asia	Philippines	2020-09-11	248947	4066	NA	NA	109581085	7599.188	NA	7.07	1	71.23	0.699	0.00227180630671799	2271.80630671799
PNG	Oceania	Papua New Guinea	2020-09-11	507	5	NA	NA	8947027	3823.194	NA	17.65	NA	64.5	0.544	5.66668682233774e-05	56.6668682233774
POL	Europe	Poland	2020-09-11	72453	2159	NA	NA	37846605	27216.445	NA	5.91	6.62	78.73	0.865	0.00191438571570686	1914.38571570686
PRI	North America	Puerto Rico	2020-09-11	36279	512	NA	NA	2860840	35044.67	NA	12.9	NA	80.1	NA	0.0126812404748256	12681.2404748256
PRT	Europe	Portugal	2020-09-11	62126	1852	NA	NA	10196707	27936.896	0.5	9.85	3.39	82.05	0.847	0.00609275131667508	6092.75131667508
PRY	South America	Paraguay	2020-09-11	25631	485	NA	NA	7132530	8827.01	1.7	8.27	1.3	74.25	0.702	0.00359353553367459	3593.53553367459
PSE	Asia	Palestine	2020-09-11	37214	224	NA	NA	5101416	4449.898	1	10.59	NA	74.05	0.686	0.00729483735496184	7294.83735496184
PYF	Oceania	French Polynesia	2020-09-11	795	0	NA	NA	280904	NA	NA	22.63	NA	77.66	NA	0.00283014837809358	2830.14837809358
QAT	Asia	Qatar	2020-09-11	121052	205	NA	NA	2881060	116935.6	NA	16.52	1.2	80.23	0.856	0.0420164800455388	42016.4800455388
ROU	Europe	Romania	2020-09-11	99684	4065	2041921	0.055	19237682	23313.199	5.7	9.74	6.892	76.05	0.811	0.00518170536346323	5181.70536346323
RUS	Europe	Russia	2020-09-11	1046370	18263	NA	NA	145934460	24765.954	0.1	6.18	8.05	72.58	0.816	0.00717013651196571	7170.13651196571
RWA	Africa	Rwanda	2020-09-11	4479	22	NA	NA	12952209	1854.211	56	4.28	NA	69.02	0.524	0.000345809737937367	345.809737937367
SAU	Asia	Saudi Arabia	2020-09-11	323720	4189	NA	NA	34813867	49045.411	NA	17.72	2.7	75.13	0.853	0.00929859357479593	9298.59357479593
SDN	Africa	Sudan	2020-09-11	13437	833	NA	NA	43849269	4466.507	NA	15.67	0.8	65.31	0.502	0.000306436123256696	306.436123256696
SEN	Africa	Senegal	2020-09-11	14150	293	NA	NA	16743930	2470.58	38	2.42	NA	67.94	0.505	0.000845082367162309	845.082367162309
SGP	Asia	Singapore	2020-09-11	57229	27	NA	NA	5850343	85535.383	NA	10.99	2.4	83.62	0.932	0.00978216149036048	9782.16149036048
SLE	Africa	Sierra Leone	2020-09-11	2069	72	NA	NA	7976985	1390.3	52.2	2.42	NA	54.7	0.419	0.000259371178459029	259.371178459029
SLV	North America	El Salvador	2020-09-11	26688	777	NA	NA	6486201	7292.458	2.2	8.87	1.3	73.32	0.674	0.00411458109300036	4114.58109300036
SMR	Europe	San Marino	2020-09-11	722	42	NA	NA	33938	56861.47	NA	5.64	3.8	84.97	NA	0.0212740880429018	21274.0880429018
SOM	Africa	Somalia	2020-09-11	3371	97	NA	NA	15893219	NA	NA	6.05	0.9	57.4	NA	0.000212103035892225	212.103035892225
SRB	Europe	Serbia	2020-09-11	32136	729	NA	NA	6804596	14048.881	NA	10.08	5.609	76	0.787	0.00472269036986178	4722.69036986178
SSD	Africa	South Sudan	2020-09-11	2555	49	NA	NA	11193729	1569.888	NA	10.43	NA	57.85	0.388	0.000228252801188951	228.252801188951
STP	Africa	Sao Tome and Principe	2020-09-11	901	15	NA	NA	219161	3052.714	32.3	2.42	2.9	70.39	0.589	0.00411113291142128	4111.13291142128
SUR	South America	Suriname	2020-09-11	4477	93	NA	NA	586634	13767.119	NA	12.54	3.1	71.68	0.72	0.00763167494553674	7631.67494553674
SVK	Europe	Slovakia	2020-09-11	5021	37	375232	0.032	5459643	30155.152	0.7	7.29	5.82	77.54	0.855	0.000919657201029445	919.657201029445
SVN	Europe	Slovenia	2020-09-11	3388	131	NA	NA	2078932	31400.84	NA	7.25	4.5	81.32	0.896	0.00162968293335232	1629.68293335232
SWE	Europe	Sweden	2020-09-11	86194	5843	NA	NA	10099270	46949.283	0.5	4.79	2.22	82.8	0.933	0.00853467626868081	8534.67626868081
SWZ	Africa	Swaziland	2020-09-11	4994	98	NA	NA	1160164	7738.975	NA	3.94	2.1	60.19	0.588	0.00430456383752642	4304.56383752642
SXM	North America	Sint Maarten (Dutch part)	2020-09-11	530	19	NA	NA	42882	36327.232	NA	NA	NA	78.95	NA	0.0123594981577352	12359.4981577352
SYC	Africa	Seychelles	2020-09-11	137	0	NA	NA	98340	26382.287	1.1	10.55	3.6	73.4	0.797	0.00139312588977019	1393.12588977019
SYR	Asia	Syria	2020-09-11	3416	147	NA	NA	17500657	NA	NA	NA	1.5	72.7	0.536	0.000195192671909403	195.192671909403
TCA	North America	Turks and Caicos Islands	2020-09-11	638	5	NA	NA	38718	NA	NA	NA	NA	80.22	NA	0.0164781238700346	16478.1238700346
TCD	Africa	Chad	2020-09-11	1051	79	NA	NA	16425859	1768.153	38.4	6.1	NA	54.24	0.404	6.39844771588506e-05	63.9844771588506
TGO	Africa	Togo	2020-09-11	1537	37	NA	NA	8278737	1429.813	49.2	6.15	0.7	61.04	0.503	0.000185656338641993	185.656338641993
THA	Asia	Thailand	2020-09-11	3461	58	430235	0.004	69799978	16277.671	0.1	7.04	2.1	77.15	0.755	4.95845428489963e-05	49.5845428489963
TJK	Asia	Tajikistan	2020-09-11	8939	72	NA	NA	9537642	2896.913	4.8	7.11	4.8	71.1	0.65	0.000937233752325785	937.233752325785
TLS	Asia	Timor	2020-09-11	27	0	NA	NA	1318442	6570.102	30.3	6.86	5.9	69.5	0.625	2.04787165457411e-05	20.4787165457411
TTO	North America	Trinidad and Tobago	2020-09-11	2698	43	NA	NA	1399491	28763.071	NA	10.97	3	73.51	0.784	0.00192784376605494	1927.84376605494
TUN	Africa	Tunisia	2020-09-11	5882	99	NA	NA	11818618	10849.297	2	8.52	2.3	76.7	0.735	0.000497689323743267	497.689323743267
TUR	Asia	Turkey	2020-09-11	286455	6895	8212924	0.015	84339067	25129.341	0.2	12.13	2.81	77.69	0.791	0.00339646868514683	3396.46868514683
TWN	Asia	Taiwan	2020-09-11	496	7	NA	NA	23816775	NA	NA	NA	NA	80.46	NA	2.08256575459944e-05	20.8256575459944
TZA	Africa	Tanzania	2020-09-11	509	21	NA	NA	59734213	2683.304	49.1	5.75	0.7	65.46	0.538	8.52107987092757e-06	8.52107987092757
UGA	Africa	Uganda	2020-09-11	4291	48	NA	NA	45741000	1697.707	41.6	2.5	0.5	63.37	0.516	9.38108043112306e-05	93.8108043112306
UKR	Europe	Ukraine	2020-09-11	148756	3076	1806428	0.129	43733759	7894.393	0.1	7.11	8.8	72.06	0.751	0.00340139982021669	3401.39982021669
URY	South America	Uruguay	2020-09-11	1759	45	NA	NA	3473727	20551.409	0.1	6.93	2.8	77.91	0.804	0.000506372550289646	506.372550289646
USA	North America	United States	2020-09-11	6397227	191789	NA	NA	331002647	54225.446	1.2	10.79	2.77	78.86	0.924	0.0193268152323869	19326.8152323869
UZB	Asia	Uzbekistan	2020-09-11	45927	375	NA	NA	33469199	6253.104	NA	7.57	4	71.72	0.71	0.00137221688514266	1372.21688514266
VAT	Europe	Vatican	2020-09-11	12	0	NA	NA	809	NA	NA	NA	NA	75.12	NA	0.0148331273176761	14833.1273176761
VCT	North America	Saint Vincent and the Grenadines	2020-09-11	62	0	NA	NA	110947	10727.146	NA	11.62	2.6	72.53	0.723	0.000558825385093784	558.825385093784
VEN	South America	Venezuela	2020-09-11	57823	460	NA	NA	28435943	16745.022	NA	6.47	0.8	72.06	0.761	0.00203344759834411	2033.44759834411
VGB	North America	British Virgin Islands	2020-09-11	63	1	NA	NA	30237	NA	NA	13.67	NA	79.07	NA	0.00208354003373351	2083.5400337335
VIR	North America	United States Virgin Islands	2020-09-11	1201	18	NA	NA	104423	NA	NA	12.26	NA	80.58	NA	0.0115012976068491	11501.2976068491
VNM	Asia	Vietnam	2020-09-11	1059	35	NA	NA	97338583	6171.884	2	6	2.6	75.4	0.694	1.08795501985066e-05	10.8795501985066
OWID_KOS	Europe	Kosovo	2020-09-11	14446	581	NA	NA	1932774	9795.834	0.6	NA	NA	NA	NA	0.00747423133796295	7474.23133796295
YEM	Asia	Yemen	2020-09-11	2003	580	NA	NA	29825968	1479.147	18.8	5.35	0.7	66.12	0.452	6.71562445181997e-05	67.1562445181997
ZAF	Africa	South Africa	2020-09-11	644438	15265	NA	NA	59308690	12294.876	18.9	5.52	2.32	64.13	0.699	0.010865827587829	10865.827587829
ZMB	Africa	Zambia	2020-09-11	13214	300	128662	0.09	18383956	3689.251	57.5	3.94	2	63.89	0.588	0.000718778917878176	718.778917878176
ZWE	Africa	Zimbabwe	2020-09-11	7453	222	NA	NA	14862927	1899.775	21.4	1.82	1.7	61.49	0.535	0.000501449007991495	501.449007991495
		International	2020-09-11	696	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
